ID	title	owner	planner	meno	max	min	project_tagid	part_num	partors
100076	2021平安夜	3077	2914	踏青	323	223	32,47	10	4281,14126,8573,3442
100077	2022元旦	11714	7556	吃饭	283	135	22,32	4	3978,4876,4005,1559
100078	2021七夕	4143	12176	吃饭	427	173	14,37	11	6668,6454,11049,9833
100079	2020新年	4819	11914	爬鼓山	372	220	35,1	9	13771,7545,5662,9343
100080	2021儿童节	11937	4106	森林公园烧烤	348	150	23,20	5	10190,7024,9119,5508
100081	2022五一	5757	6944	逛三坊七巷	387	174	18,5	10	4885,8719,6741,9004
100082	2020情人节	10246	11782	踏青	299	121	6,41	5	2739,1720,3819,12659
100083	2018平安夜	8354	12579	爬鼓山	410	79	24,19	12	7080,2464,1846,11784
100084	2020万圣节	11066	10249	吃饭	430	179	33,23	12	13537,6185,4170,14278
100085	2022儿童节	2157	12958	吃饭	294	96	21,31	2	4385,9276,5916,13664
100086	2019国庆	6286	7752	踏青	452	200	6,27	14	1789,1010,3174,13237
100087	2019除夕	6072	4013	吃饭	401	183	12,38	2	4137,6618,1225,4698
100088	2019除夕	13980	4921	吃饭	483	51	39,48	7	7177,3030,8923,9804
100089	2020儿童节	13561	5269	森林公园烧烤	401	194	39,34	13	1999,5062,10560,11027
100090	2021新年	11520	11735	逛三坊七巷	298	190	15,18	15	5280,3675,12293,7382
100091	2021七夕	3179	2898	爬鼓山	481	169	41,48	10	4845,4180,2655,1707
100092	2020万圣节	8771	11324	逛三坊七巷	456	134	11,11	12	14470,8722,7460,11698
100093	2019端午	9341	14012	爬鼓山	391	152	13,6	7	3347,5998,6623,10230
100094	2019平安夜	3582	8079	森林公园烧烤	493	63	1,46	7	13162,1460,3021,1000
100095	2020五一	13172	4158	逛三坊七巷	406	222	40,14	6	3634,4652,3133,4185
100096	2020元旦	9134	14472	吃饭	307	143	17,40	4	13713,8492,13426,8427
100097	2021情人节	11329	1213	踏青	287	79	31,20	15	5529,10410,5094,5220
100098	2019元宵节	4054	11495	踏青	414	119	10,6	8	1635,11827,6370,3021
100099	2022元宵节	5757	10167	逛三坊七巷	262	196	13,43	15	9538,5148,1821,9971
100100	2018暑假	9482	11896	踏青	487	213	13,19	9	13681,3917,8267,8530
100101	2020跨年夜	1930	13409	森林公园烧烤	265	197	44,26	13	1979,10278,14275,4117
100102	2019新年	11660	3360	爬鼓山	420	58	41,30	5	4829,3627,10873,5027
100103	2020暑假	3283	3158	逛三坊七巷	290	61	12,50	14	2453,8856,1887,1478
100104	2020除夕	2476	6362	踏青	374	99	50,6	5	10475,3781,13391,12094
100105	2018情人节	2263	4368	逛三坊七巷	452	123	5,8	12	8965,1488,13972,13500
100106	2021七夕	7331	12923	逛三坊七巷	391	143	12,9	5	14466,14154,7693,11840
100107	2019新年	2609	5579	森林公园烧烤	311	154	36,46	14	14042,10664,1232,4630
100108	2021情人节	5614	8271	森林公园烧烤	452	218	22,31	15	2004,13654,11090,11478
100109	2021除夕	13657	4308	踏青	290	70	7,24	8	10337,13068,5620,1804
100110	2022端午	7030	7045	吃饭	383	77	40,17	7	2250,12442,1686,7442
100111	2018圣诞	8735	9484	爬鼓山	442	123	2,45	5	13911,10828,10147,7928
100112	2020元宵节	13588	12071	森林公园烧烤	362	132	5,10	5	10169,8176,3864,1513
100113	2022新年	2988	13341	森林公园烧烤	409	156	7,8	2	3337,3655,2389,13198
100114	2022五一	4557	9270	吃饭	409	217	5,38	1	1732,1544,14304,2465
100115	2022元旦	12142	1172	森林公园烧烤	262	97	39,23	3	10357,13590,3556,12692
100116	2020元宵节	13383	1593	逛三坊七巷	372	181	48,41	6	1094,8818,7275,3940
100117	2018跨年夜	12272	8292	逛三坊七巷	438	83	24,33	3	7331,12502,3864,9183
100118	2022平安夜	8338	12595	森林公园烧烤	404	84	40,31	3	10306,14320,11665,1003
100119	2019暑假	2854	4004	爬鼓山	348	199	5,47	9	5216,3953,11404,4083
100120	2021除夕	14245	13831	爬鼓山	449	52	25,18	5	11839,13692,7724,12662
100121	2021七夕	2563	9289	逛三坊七巷	406	225	20,50	3	7864,7458,6998,12002
100122	2019跨年夜	13411	13791	森林公园烧烤	250	182	25,16	4	2065,2084,12960,2471
100123	2021除夕	10093	5726	吃饭	309	104	27,26	11	4337,7148,7499,6023
100124	2020新年	7460	1188	踏青	366	120	29,17	2	7217,9402,7860,12027
100125	2018暑假	7727	10563	森林公园烧烤	393	167	32,25	5	3442,10786,1926,2648
100126	2020平安夜	4799	3302	踏青	436	216	36,21	4	9031,8090,8812,1048
100127	2022元旦	9697	3256	踏青	349	65	35,9	13	11613,7347,9036,6312
100128	2020跨年夜	8342	7745	森林公园烧烤	296	107	29,39	15	4771,3699,13284,8469
100129	2020五一	10138	4698	爬鼓山	402	235	21,2	9	3179,7021,3264,9475
100130	2019圣诞	1146	5677	吃饭	472	71	33,25	7	6004,14165,7431,13664
100131	2021新年	3631	12514	森林公园烧烤	313	202	13,44	13	14037,10101,9051,3403
100132	2022儿童节	10780	7517	踏青	495	215	32,29	3	13915,11733,2005,9553
100133	2021七夕	9492	5023	爬鼓山	364	63	30,37	5	6418,11516,12243,1433
100134	2021国庆	8655	4888	逛三坊七巷	401	95	1,8	4	3467,11398,10147,3088
100135	2021平安夜	3622	1478	逛三坊七巷	293	139	1,4	15	8829,1185,4441,7106
100136	2021儿童节	7394	6321	逛三坊七巷	430	118	36,31	2	10940,13952,8805,9068
100137	2021端午	11475	8119	踏青	339	246	33,28	4	5148,4837,14180,5997
100138	2021国庆	12228	4848	踏青	347	88	22,17	13	4059,6957,5384,2330
100139	2021端午	5027	10554	吃饭	433	149	49,19	6	5771,4413,11935,1293
100140	2018儿童节	11137	7766	踏青	497	125	40,29	11	3788,11004,8292,9099
100141	2018元宵节	2553	4341	爬鼓山	489	205	45,46	3	12578,4290,9920,5906
100142	2022跨年夜	5607	10693	吃饭	318	66	2,23	12	5727,9621,5520,13118
100143	2020元旦	11845	9578	踏青	408	53	3,20	15	5479,1202,5229,9873
100144	2020新年	6119	6940	逛三坊七巷	489	102	46,24	2	3876,6368,5601,11430
100145	2021平安夜	2802	1184	吃饭	316	71	10,40	12	1291,11164,11856,7659
100146	2022情人节	5063	14164	森林公园烧烤	408	194	34,7	6	10251,10754,10175,8344
100147	2022元宵节	14260	8460	踏青	492	69	20,16	6	2562,13077,12341,12484
100148	2021新年	13198	5565	爬鼓山	308	141	14,45	9	13606,11525,9015,4425
100149	2022跨年夜	10041	14162	逛三坊七巷	274	83	35,29	11	10872,11305,10966,1519
100150	2018元宵节	12605	13090	逛三坊七巷	440	69	24,49	2	13110,1611,12039,8537
100151	2019元宵节	5324	9195	吃饭	293	176	24,17	9	12078,10500,7929,9902
100152	2020七夕	11196	2862	爬鼓山	352	142	38,45	8	5836,6502,5215,11414
100153	2018五一	2110	9524	吃饭	388	221	20,38	4	12449,1834,10874,3360
100154	2021除夕	14159	5683	踏青	374	144	22,21	13	14498,2162,12185,10422
100155	2019情人节	7152	2479	爬鼓山	306	89	3,13	14	10575,7302,10641,13106
100156	2021情人节	2845	7118	爬鼓山	301	127	42,30	12	5770,11817,11570,6591
100157	2021新年	7231	3960	森林公园烧烤	412	95	23,21	10	7966,4661,13528,7009
100158	2018元宵节	7090	4409	踏青	316	105	12,41	6	3098,2138,7078,6496
100159	2019七夕	4538	2497	吃饭	456	233	17,20	13	8715,6243,12178,5584
100160	2018国庆	13308	7650	踏青	466	103	8,21	9	1307,9478,10778,13462
100161	2020元宵节	3241	2403	踏青	332	234	46,17	13	13171,2710,3675,2953
100162	2019七夕	1738	6117	森林公园烧烤	354	231	6,20	2	5344,10330,14110,11031
100163	2022儿童节	13242	3965	森林公园烧烤	381	193	3,37	14	12785,8522,8935,3933
100164	2021情人节	10829	2624	逛三坊七巷	399	53	8,30	2	8727,3181,7414,5613
100165	2020元宵节	6111	10647	森林公园烧烤	452	92	23,31	1	11492,14343,14182,8375
100166	2018国庆	13840	3402	吃饭	399	142	43,19	6	13368,14256,2014,10472
100167	2022平安夜	12093	14035	森林公园烧烤	391	212	47,24	6	1467,10633,11510,7495
100168	2018元宵节	5058	1770	踏青	325	248	37,6	8	7301,13373,13090,9052
100169	2022情人节	14402	4856	爬鼓山	437	114	29,19	14	11201,9319,11171,8369
100170	2019儿童节	8500	1575	爬鼓山	453	248	2,9	4	1320,1033,14439,13414
100171	2019端午	7251	4524	爬鼓山	410	60	21,9	3	9040,3560,6513,1731
100172	2018新年	8279	1722	吃饭	458	139	48,24	3	3166,10339,11910,7920
100173	2021情人节	3085	4788	吃饭	382	170	34,13	13	1470,1521,2006,2815
100174	2022除夕	10065	7588	吃饭	321	50	48,35	6	6149,2701,14186,2519
100175	2019除夕	7347	2696	爬鼓山	301	96	40,34	13	12250,2713,4505,5776
100176	2019五一	3507	1824	踏青	319	78	42,28	14	13998,13942,11663,12025
100177	2021国庆	5929	3667	森林公园烧烤	427	194	3,22	15	5492,3009,8302,9512
100178	2022圣诞	8828	5302	森林公园烧烤	312	147	12,9	12	13777,1444,7064,8366
100179	2022五一	10208	6014	逛三坊七巷	462	98	49,38	4	1238,13689,5092,9147
100180	2020除夕	14373	5576	踏青	351	145	11,12	14	11495,3049,3478,9326
100181	2020五一	8546	13951	森林公园烧烤	277	77	20,38	9	1510,8793,4232,10223
100182	2021跨年夜	8903	2188	逛三坊七巷	474	208	37,25	5	11457,5301,2138,11789
100183	2019元宵节	9798	3162	爬鼓山	375	62	2,8	14	13123,1037,1069,3040
100184	2021五一	1539	10984	踏青	448	86	8,27	8	8393,6332,3926,8959
100185	2019除夕	1635	13675	逛三坊七巷	441	83	35,9	7	6062,8719,12078,1948
100186	2020七夕	5215	14413	吃饭	304	229	31,17	4	6495,5624,7291,5572
100187	2021新年	12862	6588	森林公园烧烤	428	114	21,36	1	13970,11988,10990,11321
100188	2020元宵节	13275	3647	爬鼓山	494	61	49,16	6	7275,9118,12576,3360
100189	2021五一	9766	12377	逛三坊七巷	281	86	20,13	14	5727,10168,10154,8584
100190	2022万圣节	6589	10671	踏青	490	107	25,18	8	8195,1402,8101,13509
100191	2020万圣节	12072	13349	森林公园烧烤	289	187	16,50	3	11063,9583,3854,8856
100192	2022五一	2191	1530	森林公园烧烤	430	238	31,17	1	7271,11725,12869,11860
100193	2021跨年夜	3501	9027	踏青	412	169	17,26	9	2830,1353,6019,6871
100194	2022情人节	6952	7671	爬鼓山	346	196	9,47	9	4778,6249,14134,1170
100195	2022跨年夜	6932	14032	逛三坊七巷	443	111	20,47	13	5302,11252,3307,6594
100196	2019平安夜	4595	1886	踏青	411	170	44,17	2	8465,10998,9111,5028
100197	2022新年	10198	9106	吃饭	494	241	1,28	8	5611,11517,5278,2639
100198	2018新年	7257	14342	踏青	375	164	22,47	8	7240,12564,3624,10872
100199	2022跨年夜	14022	6336	爬鼓山	481	188	18,42	5	10697,12429,5638,5304
100200	2022元旦	4076	2625	踏青	429	87	36,46	11	3768,13624,11930,1012
100201	2019圣诞	4329	8663	吃饭	403	123	38,18	4	6718,10073,1447,7366
100202	2020平安夜	12317	10668	逛三坊七巷	378	77	14,17	5	10649,12439,11771,11516
100203	2020元宵节	6384	5344	爬鼓山	366	70	14,23	15	9960,14432,9433,12456
100204	2020元宵节	14367	11644	逛三坊七巷	383	180	5,6	7	5987,13920,10677,11232
100205	2018国庆	11607	6271	吃饭	441	118	35,24	3	11507,1808,10634,1816
100206	2019情人节	11402	3311	逛三坊七巷	444	132	21,48	8	1374,6166,12568,1549
100207	2020平安夜	13136	2988	爬鼓山	346	80	13,42	10	2704,9831,4999,11964
100208	2019圣诞	5732	11820	踏青	312	51	48,23	4	7374,11438,8171,2396
100209	2021元旦	8564	12293	爬鼓山	487	94	16,31	4	7288,13278,13424,5971
100210	2018圣诞	14046	13844	逛三坊七巷	315	133	10,1	9	12547,9918,9201,7062
100211	2019平安夜	7440	9875	逛三坊七巷	278	153	33,12	7	10486,11261,7595,10382
100212	2018平安夜	9070	5829	吃饭	344	84	2,3	3	7930,7223,13257,6936
100213	2022情人节	12422	5573	踏青	496	228	11,31	4	6578,2203,11334,8651
100214	2018七夕	5115	9493	爬鼓山	417	167	18,39	12	12716,8659,12051,8220
100215	2018万圣节	8773	7830	爬鼓山	267	73	19,38	9	7284,14436,13012,13429
100216	2022儿童节	3585	2958	逛三坊七巷	450	170	48,33	7	6012,8016,10836,13664
100217	2019五一	12117	10547	踏青	479	50	14,25	3	1476,3084,4947,7295
100218	2018暑假	12651	10406	吃饭	336	131	42,42	9	1187,8348,6671,11324
100219	2021平安夜	5590	7732	森林公园烧烤	439	196	15,8	10	3656,7514,6951,7709
100220	2020端午	3393	12032	踏青	410	64	21,25	9	7685,9847,4674,10269
100221	2019跨年夜	2752	7250	森林公园烧烤	262	99	19,7	9	9377,4392,1020,6161
100222	2022跨年夜	4248	6061	爬鼓山	284	117	33,7	2	10357,7323,3585,5288
100223	2021平安夜	12442	6410	吃饭	306	82	3,12	9	3385,10783,4353,2694
100224	2018除夕	13599	6074	踏青	328	169	22,23	9	4568,6691,12893,5096
100225	2020国庆	5866	4758	逛三坊七巷	482	133	1,20	10	12461,13580,11193,3519
100226	2019元宵节	1033	12846	踏青	281	207	28,32	8	7703,4189,7877,3006
100227	2019万圣节	11094	11065	爬鼓山	413	187	1,6	11	1321,13857,12497,9609
100228	2019圣诞	8010	4725	逛三坊七巷	253	233	47,8	12	12634,5959,1735,11681
100229	2021国庆	3686	3162	爬鼓山	436	103	42,29	15	8928,4019,14132,3700
100230	2020暑假	12696	13609	吃饭	387	132	22,3	15	6570,9380,3237,3170
100231	2021新年	9860	5235	森林公园烧烤	459	61	39,45	5	4235,8318,9785,12368
100232	2021平安夜	7681	8638	爬鼓山	334	102	1,46	8	8212,1809,5670,12012
100233	2020跨年夜	8348	1636	森林公园烧烤	307	242	30,29	3	10342,10763,10557,13686
100234	2019新年	10650	9547	吃饭	381	239	31,9	9	3220,4473,2055,9132
100235	2018元旦	13638	5203	逛三坊七巷	366	249	31,21	12	7451,1593,9474,8343
100236	2020平安夜	10930	10152	爬鼓山	466	183	40,5	5	11038,11669,3354,10922
100237	2018平安夜	9130	8353	逛三坊七巷	448	144	41,26	11	3984,11313,9250,3197
100238	2021跨年夜	13573	13188	爬鼓山	292	50	21,13	3	3861,8953,13153,11848
100239	2022圣诞	10774	3737	森林公园烧烤	435	152	20,30	4	4109,11248,5266,9205
100240	2022圣诞	2252	13824	踏青	297	107	42,50	14	7094,14026,8243,12673
100241	2022新年	7098	1121	森林公园烧烤	371	131	15,6	10	14439,13501,12359,2790
100242	2022情人节	7115	10037	踏青	358	201	28,37	11	12132,4778,12735,11925
100243	2020圣诞	11838	8457	爬鼓山	414	211	16,43	5	7868,12317,11086,5723
100244	2021万圣节	6653	7479	森林公园烧烤	319	215	20,45	5	10781,3305,4053,2339
100245	2020儿童节	5423	8754	森林公园烧烤	370	217	10,10	2	13928,1380,6619,2320
100246	2021端午	7925	8351	森林公园烧烤	298	73	21,3	14	9561,7806,12127,11060
100247	2020万圣节	11240	10402	爬鼓山	488	197	40,35	13	7358,10372,9567,4548
100248	2020暑假	12700	11340	爬鼓山	465	178	39,9	11	8001,11389,12395,6579
100249	2022国庆	8178	9672	爬鼓山	260	150	6,11	11	11958,8934,5548,12493
100250	2019暑假	3303	8870	森林公园烧烤	495	195	4,31	12	9336,1378,9488,8195
100251	2022端午	6740	2191	爬鼓山	283	81	42,40	14	1442,11682,1718,13819
100252	2021万圣节	1388	6709	踏青	413	105	20,9	2	10201,12012,10173,11236
100253	2020儿童节	14428	6887	森林公园烧烤	332	213	25,44	9	7326,2121,3909,8531
100254	2019除夕	2561	8249	吃饭	489	221	10,8	12	10761,8274,10819,13375
100255	2022国庆	2538	14486	森林公园烧烤	392	99	6,30	3	6281,9212,9283,5091
100256	2019情人节	8245	3337	踏青	373	203	18,43	15	5274,3248,1718,1658
100257	2018新年	12350	10672	森林公园烧烤	444	143	48,27	5	1300,8346,10114,9454
100258	2020七夕	2192	1919	逛三坊七巷	431	134	39,42	15	4930,6297,12433,5813
100259	2021圣诞	2478	10821	踏青	298	236	5,3	1	10009,14089,6214,8950
100260	2021五一	6421	3708	森林公园烧烤	449	51	45,27	4	1321,9333,13393,5089
100261	2018情人节	2631	6603	吃饭	385	115	23,27	14	7468,11122,1956,11227
100262	2022七夕	11192	1087	踏青	321	196	49,22	10	13750,4365,5865,8551
100263	2018五一	10523	9615	逛三坊七巷	265	133	22,40	3	1754,11672,11923,12577
100264	2019平安夜	5289	1981	踏青	487	101	34,3	3	2627,9919,3541,10186
100265	2022圣诞	3916	10372	逛三坊七巷	309	249	13,14	15	8321,4698,3415,4681
100266	2022端午	4189	13671	森林公园烧烤	432	98	48,14	7	1484,7928,11694,9428
100267	2018新年	13881	12696	爬鼓山	397	156	33,43	9	1502,13769,9180,6006
100268	2021万圣节	7518	4706	吃饭	487	181	20,22	10	2250,4370,1833,9575
100269	2021万圣节	6581	6960	逛三坊七巷	456	225	42,14	6	11294,11993,1889,4509
100270	2018新年	11057	2777	森林公园烧烤	316	62	40,11	4	2778,2474,12041,10117
100271	2021除夕	12575	14023	吃饭	481	119	6,8	9	2315,4577,7832,2307
100272	2022情人节	7563	7178	踏青	348	227	32,28	6	8262,6055,13448,10111
100273	2018新年	13830	6300	森林公园烧烤	493	58	27,32	7	13105,2788,10560,13739
100274	2019儿童节	4626	7831	逛三坊七巷	456	189	47,9	6	9854,8374,12567,1607
100275	2018五一	3925	3796	爬鼓山	440	154	13,15	2	12761,2809,8420,14383
100276	2020元宵节	10547	5134	踏青	477	198	12,20	12	11441,2216,7603,6970
100277	2020情人节	7338	12216	吃饭	467	205	31,26	3	3571,10872,5063,4277
100278	2022儿童节	3595	9679	逛三坊七巷	489	147	24,34	14	3680,13877,12857,9581
100279	2022端午	3660	4610	森林公园烧烤	434	70	14,45	9	11866,13502,1001,13080
100280	2018暑假	2487	2820	吃饭	365	159	20,30	14	14003,2303,10585,8760
100281	2018七夕	13475	11609	森林公园烧烤	269	79	14,1	1	11636,5745,2650,10238
100282	2021平安夜	4724	2890	爬鼓山	364	161	2,20	12	1284,11684,13643,6354
100283	2019情人节	12992	4932	吃饭	367	144	33,42	3	4311,8204,1266,11759
100284	2018元宵节	11910	1945	踏青	258	214	47,32	11	6770,3447,4250,1110
100285	2018暑假	5434	2874	踏青	272	54	23,36	13	6827,14068,10594,1537
100286	2021除夕	5229	7433	爬鼓山	499	190	18,41	3	10520,8423,8522,2519
100287	2019平安夜	7928	12555	吃饭	361	180	16,4	7	1173,14093,7689,8126
100288	2022除夕	7910	3633	逛三坊七巷	412	156	12,22	15	9500,4907,11845,13170
100289	2021国庆	4252	3555	爬鼓山	298	209	35,17	9	1320,11075,2911,12015
100290	2021七夕	4402	3790	吃饭	423	111	47,2	5	1628,5273,5014,7058
100291	2020五一	10076	9275	逛三坊七巷	411	110	34,35	6	11859,8004,2973,12191
100292	2021跨年夜	5638	9970	逛三坊七巷	471	128	12,46	11	2806,7192,10251,10674
100293	2022跨年夜	11473	2114	森林公园烧烤	444	112	23,45	2	6121,4142,12644,7051
100294	2021暑假	13005	4247	踏青	484	212	32,18	10	3262,5699,11268,10322
100295	2021儿童节	12375	11285	踏青	280	165	9,28	11	2731,14011,14042,7169
100296	2020万圣节	13616	11871	爬鼓山	435	111	44,12	12	3726,7147,4178,6741
100297	2019端午	10145	6636	爬鼓山	419	97	11,21	13	5983,12136,4622,9315
100298	2020平安夜	9044	10104	吃饭	412	148	24,11	8	1840,12542,2465,1349
100299	2020除夕	12597	1842	吃饭	266	92	19,4	10	12669,2466,2382,1777
100300	2019跨年夜	2067	7538	吃饭	274	170	40,40	4	13432,5772,4830,12069
100301	2021儿童节	7194	1291	爬鼓山	392	86	20,5	4	7423,1477,3036,10605
100302	2020圣诞	3682	6033	爬鼓山	372	173	37,47	15	14113,6479,4855,12538
100303	2018端午	4215	2496	森林公园烧烤	323	57	33,4	4	11816,7502,5943,13169
100304	2019平安夜	3909	7015	吃饭	306	186	32,7	5	13282,3781,11703,7482
100305	2020新年	10674	13338	吃饭	464	53	9,45	4	8500,2806,10270,10887
100306	2019七夕	8495	2938	踏青	490	63	6,6	7	2456,10851,13129,6156
100307	2022圣诞	5432	4800	森林公园烧烤	294	86	46,25	12	10787,1089,2212,1420
100308	2020圣诞	4250	14091	森林公园烧烤	259	184	15,49	3	8639,3742,12595,10458
100309	2021除夕	4716	10881	逛三坊七巷	496	247	10,22	7	7989,8267,2854,10141
100310	2018万圣节	10756	5847	吃饭	468	141	39,18	13	3451,11793,13295,9808
100311	2020平安夜	6498	7626	森林公园烧烤	350	89	33,25	9	8491,1727,8289,10986
100312	2022平安夜	3316	2050	森林公园烧烤	394	151	41,24	12	10377,4365,5171,3289
100313	2018五一	5000	13417	吃饭	348	225	43,12	8	11429,2905,7620,7605
100314	2019情人节	11940	2993	逛三坊七巷	483	151	39,21	5	13532,3508,2217,4162
100315	2020跨年夜	8758	12298	吃饭	263	74	34,39	11	5424,2082,3728,11257
100316	2020国庆	1400	2017	逛三坊七巷	400	144	12,28	2	3657,7655,1892,1701
100317	2021元旦	11897	13200	爬鼓山	300	182	43,20	5	9288,11528,7737,7143
