ID	city	name	address	avg_score	price	type
10228	9	jUwN2	wuRd3	1.6	146	2
10229	7	KIo4H	ArabS	1.6	124	2
10230	12	hs2iS	N00a1	2.6	433	1
10231	16	Zq0Ip	ykVfO	2.6	496	3
10232	5	pv10L	gISu4	2.4	97	2
10233	20	oHL7F	n2xoA	2.4	157	2
10234	14	UAkKv	5cS4u	3.5	230	2
10235	13	sCDSU	Tj2mO	3.5	169	2
10236	16	FFnIp	RIsDe	4.7	72	2
10237	5	iVBmG	eM16j	4.7	324	3
10238	11	IwBm1	CkYOY	1.9	446	3
10239	18	r9cdw	XQq2s	1.9	103	1
10240	18	pokAx	kxtEd	2.3	360	2
10241	7	VlvvC	cSp7T	2.3	21	2
10242	8	6dF3z	p8djU	4.5	294	1
10243	12	MmzfO	VHeCO	4.5	369	1
10244	11	CAnBq	JD2o0	2.5	101	2
10245	6	htjan	5nvit	2.5	313	3
10246	4	kR07V	MVS5w	4.1	119	1
10247	2	gDTLV	yMd6S	4.1	480	3
10248	15	s8xPr	3rBFC	2.5	372	3
10249	1	ki5NA	twl4d	2.5	174	1
10250	12	kMJLq	fsdXw	1.4	204	1
10251	5	AhQsI	zPWHp	1.4	21	3
10252	13	d0RkS	SK6ac	1.9	155	1
10253	18	pNzHu	2aGiK	1.9	410	2
10254	10	7b31c	ufi0L	3.2	160	2
10255	18	1qxKI	xk0I6	3.2	21	1
10256	12	ndYtb	Jrytc	4.5	205	1
10257	14	Z1g4H	xi2BD	4.5	332	1
10258	12	Utxdl	msh1m	4	292	2
10259	4	rzmiR	Bay1E	4	449	2
10260	1	LAB3D	pInFO	1.2	235	3
10261	8	sX6ut	Klxut	1.2	197	2
10262	3	RvKFe	e2Dps	3.6	417	1
10263	12	Vh9KV	aD5dO	3.6	411	1
10264	13	PisaO	Kkhxd	2.3	349	2
10265	2	uy8Mx	gHiXy	2.3	433	3
10266	20	Sitvi	nnJit	3	319	2
10267	8	rKvop	9k2QC	3	475	2
10268	19	Yi6LE	sigrC	1.7	423	2
10269	8	54C1u	ObNUJ	1.7	87	2
10270	13	DuO3N	u5gCY	1.7	122	2
10271	7	LaGbH	vL585	1.7	152	3
10272	14	XHlLF	vJmdo	3.7	57	2
10273	9	XvLA1	UBoRz	3.7	306	3
10274	9	MIYBk	jt5rg	4.8	325	2
10275	17	rVFZO	WJGiU	4.8	256	3
10276	3	4Kpu0	Kk1Yx	4.1	218	3
10277	12	Zn0KT	eo7Zq	4.1	146	1
10278	13	E5NaI	kpFtE	4.1	344	2
10279	10	G6bpr	fc3u6	4.1	31	2
10280	4	bWIvj	mBatE	2.6	54	1
10281	18	WRhwI	Kl16H	2.6	376	2
10282	10	OsWF9	tAqTP	1.3	417	3
10283	10	aVM7M	OL5Te	1.3	66	1
10284	18	4hWJY	gU53J	2.4	99	2
10285	7	IbXH4	xkxZB	2.4	277	2
10286	8	O2drU	35Q4w	2.6	484	1
10287	2	7a65B	EIc9V	2.6	265	1
10288	14	9h807	oUJ3x	1.2	353	2
10289	13	SQtDv	R2Wkm	1.2	377	3
10290	12	NW9ay	jNMxP	4	124	2
10291	20	EWgaE	y49Tx	4	215	1
10292	11	2rxfl	hhvyx	4.7	321	1
10293	11	Ind6Z	ETzGc	4.7	450	1
10294	4	MEj5l	3Bixd	1.5	152	2
10295	2	mPgLA	hNSOC	1.5	292	1
10296	20	myEGL	ZG2to	3.8	424	2
10297	5	PMS86	vnHh9	3.8	433	2
10298	20	yriji	3WRLQ	2.7	333	3
10299	17	yLpqc	xebwq	2.7	303	3
10300	20	UpGDN	sbbNN	2.7	35	3
10301	2	o1s8Y	ST9Px	2.7	227	1
10302	18	ZzBnc	bWcbq	1.7	125	1
10303	15	wmURl	RFCkm	1.7	467	3
10304	20	c35Sy	BDEGv	4.7	102	3
10305	7	E6KE8	nWJXZ	4.7	54	1
10306	14	vEecd	vGMYj	4.3	317	3
10307	7	VFAAg	WyHup	4.3	74	3
10308	9	QlAnN	tfptS	4.1	138	3
10309	10	iOFDt	wxkpR	4.1	288	1
10310	20	w0rJq	MxfwU	4.8	401	1
10311	11	z8FlO	rbPUV	4.8	198	1
10312	17	nB8Ci	WmtfP	2	401	2
10313	20	Bqsyd	FbCWi	2	200	1
10314	17	TQrD1	QIjjy	2.6	439	2
10315	14	iHJzo	cwHx1	2.6	235	1
10316	6	8LpzG	7GqLm	2.4	14	3
10317	19	BfShn	8oePv	2.4	268	2
10318	12	P3FDt	cPqWn	1.5	163	3
10319	6	g8jCo	B3njV	1.5	305	1
10320	16	qzjZY	gEfPT	2.5	429	1
10321	11	s1MEU	CMeVW	2.5	494	1
10322	7	xklQF	2Swb9	4.2	125	1
10323	15	Funii	qMp5p	4.2	433	3
10324	17	fa5je	lOCMG	1.5	295	2
10325	1	uypFx	5qykg	1.5	44	1
10326	16	HZaSI	bz5M2	1.2	44	2
10327	18	NPtj3	V2j55	1.2	114	3
10328	4	IsJnX	kqiXo	1.1	223	2
10329	11	nTNWf	e4reR	1.1	349	3
10330	11	45HmP	XRSwv	1	46	2
10331	13	JP42l	mNtkS	1	110	2
10332	5	0q1xx	1zbCG	1.1	185	3
10333	5	Qn35i	4yNXN	1.1	399	1
10334	17	2joIo	nimXu	4.7	293	2
10335	13	otaK2	1S8vN	4.7	414	1
10336	11	DW8t4	88O3v	3	472	1
10337	9	WhBF0	HBdZv	3	61	3
10338	20	GRjZm	tajJq	4.5	93	3
10339	17	wWy6n	MKZif	4.5	44	2
10340	12	Q3S8s	3HXX7	3.9	180	2
10341	1	5k8ry	aDEVf	3.9	319	3
10342	6	LygyM	ro50u	4.4	460	3
10343	19	bNYoD	96TfM	4.4	233	1
10344	13	9nnWD	pSQWd	1	97	1
10345	13	uy2Fv	Tt6Kd	1	118	1
10346	7	9Waz8	xcxlX	1.6	406	1
10347	8	rUpNR	NUad5	1.6	199	3
10348	3	9WCss	KQLR1	1.3	205	1
10349	15	SGogx	p20pl	1.3	133	3
10350	6	4643H	fX5Zc	4.8	82	1
10351	14	JmCox	bpJu9	4.8	292	2
10352	2	xr7lE	7vZae	1.1	359	1
10353	7	NjYCL	gOrkw	1.1	25	3
10354	6	zYof0	WK4jO	2.5	422	3
10355	8	tVEEB	mj3ne	2.5	471	1
10356	2	NUAhg	zlr7x	4	200	3
10357	13	8SuvG	5xujW	4	191	3
10358	18	ZG4Vg	twjZO	1.1	136	2
10359	17	YupcM	hCzbG	1.1	132	1
10360	20	0LY5e	xoYhb	2.2	146	2
10361	10	X3FZR	PBb1N	2.2	88	2
10362	13	XHMjO	lZ7ZF	3	95	2
10363	8	gwtud	b44lA	3	267	3
10364	18	0JvMt	xjnSL	1.8	420	2
10365	8	wDaiV	p19Xt	1.8	281	1
10366	5	snWmK	dxcy8	2.1	473	3
10367	9	WqRGi	4flqV	2.1	43	3
10368	5	z87fV	I4nIJ	2.6	73	3
10369	15	ksDpL	neIhA	2.6	129	2
10370	3	jKaGP	0pQRH	4.5	196	3
10371	11	OV7a9	ljBiN	4.5	264	3
10372	6	oWsPk	HO0FR	3.7	294	2
10373	11	j0dOa	VuEBt	3.7	64	2
10374	3	wdja3	wd36A	3.2	146	3
10375	4	QDYN0	r4o4D	3.2	457	1
10376	6	KLh7M	zUfsL	2.9	253	3
10377	6	Ps8WV	fCPf3	2.9	404	3
10378	16	b1NVh	ezyPP	3.2	194	3
10379	17	G0vn2	BpOvP	3.2	361	1
10380	5	j1kJ6	OqGPt	1.5	320	2
10381	4	AEt3N	3Of8S	1.5	154	1
10382	1	vW24c	Kjqwp	3	342	3
10383	11	RhPzR	fI3xI	3	148	2
10384	17	KhSsx	aapJe	4.8	166	1
10385	18	uLh5H	39sN5	4.8	269	1
10386	17	e9TGc	ophTr	4.3	107	2
10387	7	mfuOm	tfbbC	4.3	485	3
10388	7	80lSm	kC7Q0	2.9	131	2
10389	17	9sCNi	4bQM1	2.9	98	1
10390	7	UwEUG	UiK9s	4.5	408	1
10391	13	ne5H2	6v2TL	4.5	128	1
10392	3	OL6os	9219R	1.9	280	1
10393	18	Z8KcE	XFYqy	1.9	373	2
10394	4	kQiLl	0H9la	3.2	453	3
10395	15	1VqHz	tB83Y	3.2	244	1
10396	15	1LteR	kvFht	4.1	241	3
10397	4	1gqmj	REl18	4.1	249	3
10398	12	tTG2O	4p2S3	1.9	294	2
10399	1	V6zPw	2PsRb	1.9	20	3
10400	16	AZbn5	Lxuku	3.9	268	3
10401	10	nJziA	TaSPZ	3.9	274	1
10402	3	cIc4v	Fliaz	4.1	169	1
10403	9	SiEIy	gLnuj	4.1	102	3
10404	20	5yd8o	5wUqz	1.6	404	3
10405	9	4fqEH	AJEk9	1.6	61	3
10406	1	MJSwD	bdGbJ	3.5	214	3
10407	11	3MEpG	rwSzF	3.5	78	1
10408	16	JPzU0	1Vn6a	4.7	280	2
10409	1	yVjp8	XfPs1	4.7	104	3
10410	5	SgEm6	z4icQ	1.2	214	3
10411	20	JJ9PC	NcuuM	1.2	487	2
10412	1	sH1hQ	ilHd8	3.7	413	1
10413	18	lpt40	pUK3W	3.7	218	3
10414	16	aKZVL	1RcS2	2.7	140	1
10415	18	Y0PWH	Z9qeJ	2.7	131	3
10416	20	8EAHp	p8KIF	2.2	367	3
10417	12	PoF4M	c3Jrg	2.2	292	2
10418	7	5PyzN	mekQA	2.5	335	3
10419	11	eAOfe	XlXXH	2.5	162	2
10420	4	7XrOy	hXOgk	4.4	307	2
10421	12	K9UF3	nX9QX	4.4	475	1
10422	3	5IQzt	RrKmc	4.3	223	3
10423	11	kUo8O	eKPOn	4.3	206	3
10424	5	vlh3j	JAJmS	3.4	208	2
10425	9	kTNhb	vfNqo	3.4	93	2
10426	19	3SgRC	wbdfb	3.3	260	1
10427	11	sorp1	GWJ7e	3.3	491	1
10428	12	u6JVx	fXfTd	2	19	3
10429	5	W2hug	L7lQx	2	81	3
10430	19	V84V9	rqLZX	4.2	396	3
10431	1	kJrFp	OzTBI	4.2	473	2
10432	17	ddvDZ	uKXOj	4.8	426	3
10433	15	WBVlJ	hp6hD	4.8	121	1
10434	10	GEN1q	wiVxd	2.5	259	1
10435	14	Rz3Ib	VxxcR	2.5	438	3
10436	19	X2Mlu	Rw6Uu	1.1	252	2
10437	10	7Br2h	Xj242	1.1	29	3
10438	13	dTCpv	dxikq	3.3	411	1
10439	18	pOWgN	8vEtc	3.3	463	3
10440	3	53QJX	mM6oC	3.3	275	1
10441	13	HZ2Oy	UUzz7	3.3	81	1
10442	13	nCqr4	8sz2d	2.7	252	2
10443	16	KSLwv	oa8E6	2.7	265	3
10444	10	EGbVx	MflFh	4.2	244	1
10445	20	8ZlgE	HZXRe	4.2	97	1
10446	11	sD2PH	MFGU7	1.2	366	1
10447	3	hYcH7	tYjbH	1.2	455	1
10448	13	ruwOf	lFE05	3.4	150	3
10449	17	uHgvN	wx6IR	3.4	420	1
10450	6	AeesC	XSgZS	3.5	299	3
10451	1	CgHqS	aKyHX	3.5	125	2
10452	15	5RTbq	usBq8	2.2	298	2
10453	11	3k1rT	E46BK	2.2	137	1
10454	9	KheeU	eyRrL	1.7	399	2
10455	13	jnWeY	4mYUm	1.7	69	1
10456	7	dPk0Y	LAsh4	2	380	2
10457	17	dhShS	Wkkb0	2	198	2
10458	16	OaaaL	aW5Tc	1.7	456	2
10459	13	xfV33	zTpun	1.7	112	1
10460	4	93M4c	nzhlw	2.7	405	1
10461	3	CaqpV	omnyd	2.7	211	1
10462	5	6LXb8	jWRkM	4.2	464	1
10463	19	ez9rp	ZVVrb	4.2	399	3
10464	13	lF0oS	liZGm	1.4	486	2
10465	1	cdYeL	7pPL8	1.4	305	3
10466	1	3n0Ch	FY8oh	1.6	457	1
10467	20	gGbkK	k6gV4	1.6	483	1
10468	7	vxBbl	PGier	2.6	261	1
10469	8	qFPlb	Z46qY	2.6	184	2
10470	13	1vwz0	Zl4qq	3.4	493	3
10471	5	i47lx	ga4GU	3.4	357	2
10472	18	kdXhZ	f4RiJ	2.8	439	2
10473	13	kYDYo	7sowC	2.8	167	1
10474	2	MxPWE	9VRaA	4	370	1
10475	12	g04HE	Ni6Ow	4	34	3
10476	15	gCEfn	VOUFG	3.1	103	3
10477	5	rgBq6	2fYHq	3.1	26	1
10478	12	rFi1z	btuuX	2.2	276	1
10479	12	TqLkE	DaInF	2.2	80	3
10480	14	LTrBF	saBMm	3.1	130	2
10481	11	QJIdR	Z8zGr	3.1	127	1
10482	8	YIVDN	FLcH5	2.1	50	2
10483	5	y2NZy	g6rxk	2.1	405	1
10484	7	M17Ys	khfli	4.2	125	1
10485	14	SAfxu	64TgH	4.2	415	2
10486	11	yN8oN	uXPTD	2.5	73	3
10487	9	K8Tvi	HkKdV	2.5	243	2
10488	5	P7bgd	vVg5x	2.2	262	2
10489	4	9abDc	ebNtF	2.2	111	3
10490	10	B2eXT	spujQ	3.4	492	1
10491	20	b7KhJ	MFtKg	3.4	48	1
10492	1	2Uau0	e0OY5	2.6	339	1
10493	7	zv8rP	iFSRk	2.6	498	3
10494	14	1VgaX	OakYe	4.5	382	2
10495	7	XRGDk	SRACo	4.5	284	1
10496	12	J2Mdn	3H06x	2.3	186	2
10497	6	iORap	Hy32v	2.3	116	2
10498	13	dR4Jr	i9PdZ	2.8	258	1
10499	7	adoxM	iYL0V	2.8	497	1
10500	1	xdteD	PSTQd	2.9	325	1
10501	4	E1emR	Dz8Fc	2.9	432	2
10502	4	d4bO5	24wAG	3.3	44	2
10503	8	LJEKX	lAv68	3.3	379	2
10504	19	1OIxY	AFrkV	3.3	80	1
10505	12	GYWnP	5Fz4r	3.3	453	2
10506	3	QFOxx	lLDuW	4.1	68	3
10507	7	hpeV0	LwbGC	4.1	491	3
10508	16	276D5	wwF11	4.3	330	2
10509	16	KSAEI	9N4ga	4.3	393	3
10510	7	kgay7	cLHwN	4.2	54	2
10511	13	5sXTR	TCj9U	4.2	267	3
10512	20	aQw0C	8m9Qx	1.9	317	1
10513	9	Qxmmw	XaDIe	1.9	457	2
10514	9	e4xNU	CBNSr	3.9	208	3
10515	5	nsmaE	eFYbD	3.9	462	1
10516	14	DAvQf	nzcIn	3.8	53	2
10517	20	G5TO3	GfZuZ	3.8	458	1
10518	3	fHKtE	BEVdO	1.3	27	3
10519	19	XDeja	rCSQQ	1.3	59	3
10520	16	RJW1V	eeNUK	1.5	376	2
10521	6	sJUlr	CZAr2	1.5	441	3
10522	14	5SADh	dGK7o	3.1	42	1
10523	12	xxl1r	1KPpv	3.1	451	3
10524	15	bCl4F	N0uMD	4.9	434	3
10525	7	DDXnC	M3sj3	4.9	141	3
10526	12	7byt3	oY1YI	1.7	193	1
10527	4	d8AIL	QHbHG	1.7	183	2
10528	10	moSDt	8t99N	3.8	488	2
10529	6	k5x9g	KqgW0	3.8	72	2
10530	3	lT0kv	8jvI9	4.9	209	1
10531	3	lK6w9	0hLFW	4.9	341	3
10532	11	0Algq	QvaYA	4.2	323	2
10533	9	2QmcS	3RHHh	4.2	440	1
10534	11	x7f9b	ODrW8	5	435	1
10535	2	OCRy5	qrwUJ	5	10	2
10536	20	V8vhN	PRBxb	2.3	131	3
10537	8	9vmp0	PyRrV	2.3	294	2
10538	11	A3cAt	F7D2b	5	211	2
10539	7	vmzCq	Y9oF1	5	70	3
10540	3	gnC3g	vK6T7	2.7	412	2
10541	20	pkBHG	uUzG1	2.7	271	3
10542	10	zIKz2	5yxMQ	5	379	3
10543	8	xWMQo	bXYLZ	5	183	1
10544	6	jSQE7	MXVs2	5	258	2
10545	13	D5VAv	NowdV	5	277	3
10546	10	hqUd5	0C7Jp	4.8	140	1
10547	5	bOUEZ	kuO48	4.8	217	2
10548	4	UbRT5	hRA9o	4.1	32	1
10549	6	3hOUk	87sn2	4.1	295	2
10550	7	cfPa2	nYzyy	3.3	385	2
10551	8	qoxjW	SZfq7	3.3	188	3
10552	14	dihuX	CPJ8d	4.9	296	1
10553	4	hxOlv	fFyUh	4.9	38	3
10554	14	lzOpj	jD9t2	1.5	47	1
10555	1	m8dyc	1lmwG	1.5	175	1
10556	11	EDxEZ	uEFTZ	2.7	91	3
10557	10	5Q1m1	7VS3W	2.7	261	1
10558	9	p49sZ	rw37V	3.3	281	3
10559	20	bJrso	TXG4l	3.3	191	2
10560	11	p0vo2	7uHPL	2.8	243	2
10561	10	mumpY	b2gsa	2.8	295	2
10562	2	NGY0e	n8odO	2.5	287	2
10563	16	rxmcN	oH32Y	2.5	390	3
10564	14	FMhRw	pvosw	3.7	89	1
10565	13	e2JuR	oDJj0	3.7	478	2
10566	3	MmLrq	aS3v3	3.7	217	3
